2026-06-03 19:41:27 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_deep_P64_20260603_194127.log
2026-06-03 19:41:27 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_deep_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:42:24 | INFO | root | epoch=41 train_loss=0.00964414 val_loss=0.05550505
2026-06-03 19:42:24 | INFO | root | epoch=42 step=25 train_loss=0.00928220
2026-06-03 19:42:24 | INFO | root | epoch=42 step=50 train_loss=0.00934080
2026-06-03 19:42:25 | INFO | root | epoch=42 train_loss=0.00936585 val_loss=0.05947579
2026-06-03 19:42:25 | INFO | root | epoch=43 step=25 train_loss=0.00925619
2026-06-03 19:42:26 | INFO | root | epoch=43 step=50 train_loss=0.00917468
2026-06-03 19:42:26 | INFO | root | epoch=43 train_loss=0.00903233 val_loss=0.05193827
2026-06-03 19:42:27 | INFO | root | epoch=44 step=25 train_loss=0.00841384
2026-06-03 19:42:27 | INFO | root | epoch=44 step=50 train_loss=0.00830321
2026-06-03 19:42:28 | INFO | root | epoch=44 train_loss=0.00833703 val_loss=0.05649463
2026-06-03 19:42:28 | INFO | root | epoch=45 step=25 train_loss=0.00833104
2026-06-03 19:42:28 | INFO | root | epoch=45 step=50 train_loss=0.00829651
2026-06-03 19:42:29 | INFO | root | epoch=45 train_loss=0.00829538 val_loss=0.05362737
2026-06-03 19:42:29 | INFO | root | epoch=46 step=25 train_loss=0.00785630
2026-06-03 19:42:30 | INFO | root | epoch=46 step=50 train_loss=0.00773541
2026-06-03 19:42:30 | INFO | root | epoch=46 train_loss=0.00783555 val_loss=0.05592593
2026-06-03 19:42:31 | INFO | root | epoch=47 step=25 train_loss=0.00808597
2026-06-03 19:42:31 | INFO | root | epoch=47 step=50 train_loss=0.00813663
2026-06-03 19:42:31 | INFO | root | epoch=47 train_loss=0.00807847 val_loss=0.05760112
2026-06-03 19:42:32 | INFO | root | epoch=48 step=25 train_loss=0.00754528
2026-06-03 19:42:32 | INFO | root | epoch=48 step=50 train_loss=0.00757251
2026-06-03 19:42:33 | INFO | root | epoch=48 train_loss=0.00752695 val_loss=0.05535718
2026-06-03 19:42:33 | INFO | root | epoch=49 step=25 train_loss=0.00738124
2026-06-03 19:42:34 | INFO | root | epoch=49 step=50 train_loss=0.00752096
2026-06-03 19:42:34 | INFO | root | epoch=49 train_loss=0.00764669 val_loss=0.05972044
2026-06-03 19:42:34 | INFO | root | epoch=50 step=25 train_loss=0.00760184
2026-06-03 19:42:35 | INFO | root | epoch=50 step=50 train_loss=0.00737529
2026-06-03 19:42:35 | INFO | root | epoch=50 train_loss=0.00756292 val_loss=0.05512034
2026-06-03 19:42:36 | INFO | root | epoch=51 step=25 train_loss=0.00785165
2026-06-03 19:42:36 | INFO | root | epoch=51 step=50 train_loss=0.00797231
2026-06-03 19:42:37 | INFO | root | epoch=51 train_loss=0.00774626 val_loss=0.05545069
2026-06-03 19:42:37 | INFO | root | epoch=52 step=25 train_loss=0.00706424
2026-06-03 19:42:38 | INFO | root | epoch=52 step=50 train_loss=0.00688535
2026-06-03 19:42:38 | INFO | root | epoch=52 train_loss=0.00687817 val_loss=0.06037389
2026-06-03 19:42:38 | INFO | root | epoch=53 step=25 train_loss=0.00665643
2026-06-03 19:42:39 | INFO | root | epoch=53 step=50 train_loss=0.00666891
2026-06-03 19:42:39 | INFO | root | epoch=53 train_loss=0.00675792 val_loss=0.05416279
2026-06-03 19:42:40 | INFO | root | epoch=54 step=25 train_loss=0.00662472
2026-06-03 19:42:40 | INFO | root | epoch=54 step=50 train_loss=0.00684325
2026-06-03 19:42:41 | INFO | root | epoch=54 train_loss=0.00703596 val_loss=0.06041265
2026-06-03 19:42:41 | INFO | root | epoch=55 step=25 train_loss=0.00672359
2026-06-03 19:42:42 | INFO | root | epoch=55 step=50 train_loss=0.00668918
2026-06-03 19:42:42 | INFO | root | epoch=55 train_loss=0.00663888 val_loss=0.05595631
2026-06-03 19:42:42 | INFO | root | epoch=56 step=25 train_loss=0.00681704
2026-06-03 19:42:43 | INFO | root | epoch=56 step=50 train_loss=0.00673634
2026-06-03 19:42:43 | INFO | root | epoch=56 train_loss=0.00677942 val_loss=0.05317675
2026-06-03 19:42:44 | INFO | root | epoch=57 step=25 train_loss=0.00610539
2026-06-03 19:42:44 | INFO | root | epoch=57 step=50 train_loss=0.00616190
2026-06-03 19:42:45 | INFO | root | epoch=57 train_loss=0.00598237 val_loss=0.05650712
2026-06-03 19:42:45 | INFO | root | epoch=58 step=25 train_loss=0.00653901
2026-06-03 19:42:46 | INFO | root | epoch=58 step=50 train_loss=0.00652488
2026-06-03 19:42:46 | INFO | root | epoch=58 train_loss=0.00627660 val_loss=0.05872492
2026-06-03 19:42:46 | INFO | root | epoch=59 step=25 train_loss=0.00571771
2026-06-03 19:42:47 | INFO | root | epoch=59 step=50 train_loss=0.00567202
2026-06-03 19:42:47 | INFO | root | epoch=59 train_loss=0.00567155 val_loss=0.05661653
2026-06-03 19:42:48 | INFO | root | epoch=60 step=25 train_loss=0.00539517
2026-06-03 19:42:48 | INFO | root | epoch=60 step=50 train_loss=0.00536198
2026-06-03 19:42:49 | INFO | root | epoch=60 train_loss=0.00545380 val_loss=0.05857125
2026-06-03 19:42:49 | INFO | root | epoch=61 step=25 train_loss=0.00562222
2026-06-03 19:42:50 | INFO | root | epoch=61 step=50 train_loss=0.00547267
2026-06-03 19:42:50 | INFO | root | epoch=61 train_loss=0.00551029 val_loss=0.05705049
2026-06-03 19:42:50 | INFO | root | epoch=62 step=25 train_loss=0.00787200
2026-06-03 19:42:51 | INFO | root | epoch=62 step=50 train_loss=0.00734303
2026-06-03 19:42:51 | INFO | root | epoch=62 train_loss=0.00695198 val_loss=0.05506092
2026-06-03 19:42:52 | INFO | root | epoch=63 step=25 train_loss=0.00593828
2026-06-03 19:42:52 | INFO | root | epoch=63 step=50 train_loss=0.00574867
2026-06-03 19:42:53 | INFO | root | epoch=63 train_loss=0.00578250 val_loss=0.05666754
2026-06-03 19:42:53 | INFO | root | epoch=64 step=25 train_loss=0.00519992
2026-06-03 19:42:53 | INFO | root | epoch=64 step=50 train_loss=0.00515358
2026-06-03 19:42:54 | INFO | root | epoch=64 train_loss=0.00512641 val_loss=0.06045360
2026-06-03 19:42:54 | INFO | root | epoch=65 step=25 train_loss=0.00498077
2026-06-03 19:42:55 | INFO | root | epoch=65 step=50 train_loss=0.00498046
2026-06-03 19:42:55 | INFO | root | epoch=65 train_loss=0.00507392 val_loss=0.05581361
2026-06-03 19:42:56 | INFO | root | epoch=66 step=25 train_loss=0.00474009
2026-06-03 19:42:56 | INFO | root | epoch=66 step=50 train_loss=0.00494736
2026-06-03 19:42:57 | INFO | root | epoch=66 train_loss=0.00493929 val_loss=0.05614066
2026-06-03 19:42:57 | INFO | root | epoch=67 step=25 train_loss=0.00499343
2026-06-03 19:42:57 | INFO | root | epoch=67 step=50 train_loss=0.00490853
2026-06-03 19:42:58 | INFO | root | epoch=67 train_loss=0.00497714 val_loss=0.05179072
2026-06-03 19:42:58 | INFO | root | epoch=68 step=25 train_loss=0.00490307
2026-06-03 19:42:59 | INFO | root | epoch=68 step=50 train_loss=0.00480493
2026-06-03 19:42:59 | INFO | root | epoch=68 train_loss=0.00484702 val_loss=0.06135624
2026-06-03 19:43:00 | INFO | root | epoch=69 step=25 train_loss=0.00455163
2026-06-03 19:43:00 | INFO | root | epoch=69 step=50 train_loss=0.00456547
2026-06-03 19:43:01 | INFO | root | epoch=69 train_loss=0.00458066 val_loss=0.05652613
