2026-06-03 19:36:57 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_small_P64_20260603_193657.log
2026-06-03 19:36:57 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_small_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:37:11 | INFO | root | epoch=28 train_loss=0.03256165 val_loss=0.04872365
2026-06-03 19:37:11 | INFO | root | epoch=29 step=25 train_loss=0.03203937
2026-06-03 19:37:12 | INFO | root | epoch=29 step=50 train_loss=0.03159385
2026-06-03 19:37:12 | INFO | root | epoch=29 train_loss=0.03112044 val_loss=0.04595776
2026-06-03 19:37:12 | INFO | root | epoch=30 step=25 train_loss=0.03095285
2026-06-03 19:37:12 | INFO | root | epoch=30 step=50 train_loss=0.03057411
2026-06-03 19:37:12 | INFO | root | epoch=30 train_loss=0.03095377 val_loss=0.04543223
2026-06-03 19:37:12 | INFO | root | epoch=31 step=25 train_loss=0.03039417
2026-06-03 19:37:12 | INFO | root | epoch=31 step=50 train_loss=0.03067700
2026-06-03 19:37:13 | INFO | root | epoch=31 train_loss=0.03062125 val_loss=0.04529377
2026-06-03 19:37:13 | INFO | root | epoch=32 step=25 train_loss=0.03034699
2026-06-03 19:37:13 | INFO | root | epoch=32 step=50 train_loss=0.03074638
2026-06-03 19:37:13 | INFO | root | epoch=32 train_loss=0.03070867 val_loss=0.05132004
2026-06-03 19:37:13 | INFO | root | epoch=33 step=25 train_loss=0.02914689
2026-06-03 19:37:13 | INFO | root | epoch=33 step=50 train_loss=0.03064228
2026-06-03 19:37:14 | INFO | root | epoch=33 train_loss=0.03041191 val_loss=0.04712315
2026-06-03 19:37:14 | INFO | root | epoch=34 step=25 train_loss=0.03078125
2026-06-03 19:37:14 | INFO | root | epoch=34 step=50 train_loss=0.02997060
2026-06-03 19:37:14 | INFO | root | epoch=34 train_loss=0.02970886 val_loss=0.04308043
2026-06-03 19:37:14 | INFO | root | epoch=35 step=25 train_loss=0.03116753
2026-06-03 19:37:14 | INFO | root | epoch=35 step=50 train_loss=0.03023926
2026-06-03 19:37:14 | INFO | root | epoch=35 train_loss=0.02973187 val_loss=0.04398577
2026-06-03 19:37:15 | INFO | root | epoch=36 step=25 train_loss=0.02946484
2026-06-03 19:37:15 | INFO | root | epoch=36 step=50 train_loss=0.02975100
2026-06-03 19:37:15 | INFO | root | epoch=36 train_loss=0.02930266 val_loss=0.04895457
2026-06-03 19:37:15 | INFO | root | epoch=37 step=25 train_loss=0.02797961
2026-06-03 19:37:15 | INFO | root | epoch=37 step=50 train_loss=0.02772228
2026-06-03 19:37:15 | INFO | root | epoch=37 train_loss=0.02818139 val_loss=0.04316264
2026-06-03 19:37:15 | INFO | root | epoch=38 step=25 train_loss=0.02818255
2026-06-03 19:37:16 | INFO | root | epoch=38 step=50 train_loss=0.02812696
2026-06-03 19:37:16 | INFO | root | epoch=38 train_loss=0.02824377 val_loss=0.04542122
2026-06-03 19:37:16 | INFO | root | epoch=39 step=25 train_loss=0.02534405
2026-06-03 19:37:16 | INFO | root | epoch=39 step=50 train_loss=0.02726519
2026-06-03 19:37:16 | INFO | root | epoch=39 train_loss=0.02848713 val_loss=0.04953886
2026-06-03 19:37:16 | INFO | root | epoch=40 step=25 train_loss=0.02778349
2026-06-03 19:37:16 | INFO | root | epoch=40 step=50 train_loss=0.02782292
2026-06-03 19:37:17 | INFO | root | epoch=40 train_loss=0.02819335 val_loss=0.04153746
2026-06-03 19:37:17 | INFO | root | epoch=41 step=25 train_loss=0.02816507
2026-06-03 19:37:17 | INFO | root | epoch=41 step=50 train_loss=0.02810794
2026-06-03 19:37:17 | INFO | root | epoch=41 train_loss=0.02785322 val_loss=0.04411337
2026-06-03 19:37:17 | INFO | root | epoch=42 step=25 train_loss=0.02695049
2026-06-03 19:37:17 | INFO | root | epoch=42 step=50 train_loss=0.02678423
2026-06-03 19:37:18 | INFO | root | epoch=42 train_loss=0.02706000 val_loss=0.04623809
2026-06-03 19:37:18 | INFO | root | epoch=43 step=25 train_loss=0.02808710
2026-06-03 19:37:18 | INFO | root | epoch=43 step=50 train_loss=0.02718133
2026-06-03 19:37:18 | INFO | root | epoch=43 train_loss=0.02708541 val_loss=0.04290721
2026-06-03 19:37:18 | INFO | root | epoch=44 step=25 train_loss=0.02714021
2026-06-03 19:37:18 | INFO | root | epoch=44 step=50 train_loss=0.02649971
2026-06-03 19:37:18 | INFO | root | epoch=44 train_loss=0.02612678 val_loss=0.04593785
2026-06-03 19:37:19 | INFO | root | epoch=45 step=25 train_loss=0.02645241
2026-06-03 19:37:19 | INFO | root | epoch=45 step=50 train_loss=0.02685421
2026-06-03 19:37:19 | INFO | root | epoch=45 train_loss=0.02687327 val_loss=0.04417024
2026-06-03 19:37:19 | INFO | root | epoch=46 step=25 train_loss=0.02629312
2026-06-03 19:37:19 | INFO | root | epoch=46 step=50 train_loss=0.02592245
2026-06-03 19:37:19 | INFO | root | epoch=46 train_loss=0.02610623 val_loss=0.04771178
2026-06-03 19:37:20 | INFO | root | epoch=47 step=25 train_loss=0.02649076
2026-06-03 19:37:20 | INFO | root | epoch=47 step=50 train_loss=0.02578646
2026-06-03 19:37:20 | INFO | root | epoch=47 train_loss=0.02579382 val_loss=0.04599985
2026-06-03 19:37:20 | INFO | root | epoch=48 step=25 train_loss=0.02484070
2026-06-03 19:37:20 | INFO | root | epoch=48 step=50 train_loss=0.02541799
2026-06-03 19:37:20 | INFO | root | epoch=48 train_loss=0.02614989 val_loss=0.05063929
2026-06-03 19:37:20 | INFO | root | epoch=49 step=25 train_loss=0.02595710
2026-06-03 19:37:21 | INFO | root | epoch=49 step=50 train_loss=0.02571315
2026-06-03 19:37:21 | INFO | root | epoch=49 train_loss=0.02592172 val_loss=0.04407479
2026-06-03 19:37:21 | INFO | root | epoch=50 step=25 train_loss=0.02493681
2026-06-03 19:37:21 | INFO | root | epoch=50 step=50 train_loss=0.02502600
2026-06-03 19:37:21 | INFO | root | epoch=50 train_loss=0.02526269 val_loss=0.04381457
2026-06-03 19:37:21 | INFO | root | epoch=51 step=25 train_loss=0.02450497
2026-06-03 19:37:22 | INFO | root | epoch=51 step=50 train_loss=0.02439011
2026-06-03 19:37:22 | INFO | root | epoch=51 train_loss=0.02474011 val_loss=0.04610198
2026-06-03 19:37:22 | INFO | root | epoch=52 step=25 train_loss=0.02508560
2026-06-03 19:37:22 | INFO | root | epoch=52 step=50 train_loss=0.02533515
